Dataset,"Baseline
(FCN)",BYOT,TSD,SAD,ProSelfLC,SelfRef,ESD,Self-BiDecKD,ETBiDecSD
Adiac,0.7289 ,0.6829 ,0.7391 ,0.5908 ,0.7570 ,0.7187 ,0.7494 ,0.7570 ,0.7647 
ArrowHead,0.5143 ,0.6343 ,0.6171 ,0.5086 ,0.4971 ,0.5886 ,0.5029 ,0.5086 ,0.5200 
Beef,0.7333 ,0.7667 ,0.8000 ,0.7667 ,0.7333 ,0.7333 ,0.7000 ,0.7000 ,0.7333 
BeetleFly,0.8500 ,0.8500 ,0.9500 ,0.9000 ,0.9000 ,0.9000 ,0.9000 ,0.8500 ,0.9500 
BirdChicken,0.9500 ,1.0000 ,0.9500 ,1.0000 ,1.0000 ,1.0000 ,1.0000 ,1.0000 ,1.0000 
CBF,0.9889 ,0.9911 ,0.9922 ,0.9889 ,0.9878 ,0.9889 ,0.9889 ,0.9922 ,0.9900 
Car,0.6000 ,0.6833 ,0.7167 ,0.7167 ,0.6667 ,0.6500 ,0.6500 ,0.6500 ,0.7000 
ChlorineConcentration,0.8107 ,0.8255 ,0.8148 ,0.8336 ,0.8266 ,0.7883 ,0.7883 ,0.8352 ,0.8383 
CinCECGTorso,0.7819 ,0.8007 ,0.7978 ,0.7812 ,0.8261 ,0.8210 ,0.8210 ,0.8362 ,0.8261 
Coffee,0.8214 ,0.8929 ,0.8929 ,0.8929 ,0.9286 ,0.8929 ,0.8929 ,0.8929 ,0.8929 
Computers,0.8160 ,0.8280 ,0.8040 ,0.7800 ,0.8200 ,0.8080 ,0.8000 ,0.8000 ,0.8040 
CricketX,0.7872 ,0.7897 ,0.7821 ,0.7795 ,0.7923 ,0.7744 ,0.8026 ,0.8026 ,0.8205 
CricketY,0.6385 ,0.7897 ,0.7846 ,0.7949 ,0.8077 ,0.8026 ,0.8231 ,0.8256 ,0.8385 
CricketZ,0.7769 ,0.8051 ,0.7974 ,0.7897 ,0.8385 ,0.8231 ,0.8462 ,0.8282 ,0.8308 
DiatomSizeReduction,0.7923 ,0.7222 ,0.7386 ,0.7712 ,0.6993 ,0.6863 ,0.6797 ,0.7157 ,0.7288 
DistalPhalanxOutlineAgeGroup,0.7255 ,0.6691 ,0.6619 ,0.6978 ,0.6763 ,0.6763 ,0.6835 ,0.6906 ,0.6691 
DistalPhalanxOutlineCorrect,0.6978 ,0.7717 ,0.7572 ,0.7645 ,0.7572 ,0.7572 ,0.7464 ,0.7572 ,0.7609 
DistalPhalanxTW,0.7717 ,0.7194 ,0.6835 ,0.6835 ,0.6763 ,0.6763 ,0.6835 ,0.6835 ,0.6978 
ECG200,0.8600 ,0.8600 ,0.8900 ,0.8700 ,0.8600 ,0.8800 ,0.8700 ,0.8800 ,0.8700 
ECG5000,0.9267 ,0.9371 ,0.9396 ,0.9369 ,0.9402 ,0.9447 ,0.9402 ,0.9444 ,0.9418 
ECGFiveDays,0.9391 ,0.7944 ,0.8002 ,0.8246 ,0.8606 ,0.8688 ,0.8432 ,0.8560 ,0.8769 
Earthquakes,0.8037 ,0.7770 ,0.7914 ,0.7770 ,0.7770 ,0.7770 ,0.7770 ,0.8037 ,0.7842 
ElectricDevices,0.7233 ,0.7308 ,0.7447 ,0.7462 ,0.7252 ,0.7155 ,0.7231 ,0.7330 ,0.7588 
FaceAll,0.7686 ,0.7893 ,0.7793 ,0.7704 ,0.7822 ,0.7852 ,0.7929 ,0.7941 ,0.7970 
FaceFour,0.8409 ,0.8523 ,0.8295 ,0.8295 ,0.8068 ,0.8409 ,0.7955 ,0.8182 ,0.8068 
FacesUCR,0.8615 ,0.8600 ,0.8707 ,0.8961 ,0.8654 ,0.8356 ,0.8678 ,0.8785 ,0.8976 
FiftyWords,0.6659 ,0.6791 ,0.6813 ,0.6989 ,0.6374 ,0.5604 ,0.6352 ,0.6769 ,0.7209 
Fish,0.8114 ,0.8057 ,0.8171 ,0.8514 ,0.8857 ,0.8514 ,0.8857 ,0.8857 ,0.8629 
FordA,0.9424 ,0.9485 ,0.9485 ,0.9470 ,0.9500 ,0.9455 ,0.9515 ,0.9485 ,0.9515 
FordB,0.8358 ,0.8444 ,0.8346 ,0.8383 ,0.8407 ,0.8173 ,0.8346 ,0.8444 ,0.8407 
GunPoint,0.9667 ,0.9667 ,0.9667 ,0.9733 ,0.9733 ,0.9667 ,0.9667 ,0.9733 ,0.9733 
Ham,0.6857 ,0.6762 ,0.6857 ,0.6667 ,0.6381 ,0.7048 ,0.6762 ,0.6667 ,0.6667 
HandOutlines,0.8081 ,0.8054 ,0.8108 ,0.8135 ,0.8189 ,0.7730 ,0.8054 ,0.8189 ,0.8054 
Haptics,0.4773 ,0.4903 ,0.4805 ,0.4675 ,0.4805 ,0.4773 ,0.4773 ,0.4805 ,0.4805 
Herring,0.7031 ,0.7344 ,0.7031 ,0.6875 ,0.7031 ,0.7031 ,0.6875 ,0.7031 ,0.7188 
InlineSkate,0.4036 ,0.4255 ,0.4382 ,0.3836 ,0.4345 ,0.3764 ,0.4145 ,0.4345 ,0.4200 
InsectWingbeatSound,0.5152 ,0.5263 ,0.5091 ,0.5096 ,0.5490 ,0.5500 ,0.5480 ,0.5399 ,0.5389 
ItalyPowerDemand,0.9495 ,0.9524 ,0.9572 ,0.9602 ,0.9514 ,0.9524 ,0.9543 ,0.9563 ,0.9534 
LargeKitchenAppliances,0.9013 ,0.9040 ,0.9013 ,0.8960 ,0.8987 ,0.9013 ,0.9040 ,0.9067 ,0.9040 
Lightning2,0.7869 ,0.7869 ,0.8033 ,0.8033 ,0.7869 ,0.7705 ,0.7869 ,0.7705 ,0.7869 
Lightning7,0.8630 ,0.8767 ,0.9041 ,0.8493 ,0.8767 ,0.8219 ,0.8630 ,0.8767 ,0.8904 
Mallat,0.8226 ,0.8299 ,0.8196 ,0.8712 ,0.8567 ,0.8303 ,0.8525 ,0.8670 ,0.8584 
Meat,0.9167 ,0.9333 ,0.9333 ,0.9167 ,0.9333 ,0.9000 ,0.9333 ,0.9333 ,0.9500 
MedicalImages,0.7763 ,0.7908 ,0.7855 ,0.7908 ,0.7684 ,0.7303 ,0.7539 ,0.7711 ,0.7921 
MiddlePhalanxOutlineAgeGroup,0.7493 ,0.7727 ,0.7815 ,0.7947 ,0.7855 ,0.7908 ,0.7727 ,0.8146 ,0.8146 
MiddlePhalanxOutlineCorrect,0.6632 ,0.6186 ,0.6426 ,0.6357 ,0.6254 ,0.6460 ,0.6632 ,0.6254 ,0.6151 
MiddlePhalanxTW,0.6234 ,0.6104 ,0.6104 ,0.6104 ,0.5844 ,0.6039 ,0.5974 ,0.5974 ,0.5844 
MoteStrain,0.8371 ,0.8387 ,0.8179 ,0.8570 ,0.8291 ,0.8059 ,0.8059 ,0.8259 ,0.8275 
NonInvasiveFetalECGThorax1,0.8387 ,0.8081 ,0.8611 ,0.7247 ,0.8601 ,0.8117 ,0.8117 ,0.8840 ,0.8896 
NonInvasiveFetalECGThorax2,0.8774 ,0.8774 ,0.8031 ,0.3293 ,0.8911 ,0.8972 ,0.8972 ,0.9186 ,0.9272 
OSULeaf,0.8512 ,0.8678 ,0.8802 ,0.8719 ,0.9091 ,0.9132 ,0.9132 ,0.9298 ,0.9380 
OliveOil,0.8333 ,0.8000 ,0.8000 ,0.9000 ,0.8000 ,0.8333 ,0.8333 ,0.8333 ,0.9000 
