DataName,FCN,,InceptionTime,,DataName,FCN,,InceptionTime,
,FLOPs,Parameters,FLOPs,Parameters,,FLOPs,Parameters,FLOPs,Parameters
Adiac,583652096,3422996,356967936,2069108,MedicalImages,328321024,3391784,200820256,2037896
ArrowHead,832281728,3383692,508990368,2029804,MiddlePhalanxOutlineAgeGroup,265316864,3383692,162289920,2029804
Beef,1558396928,3386004,953012544,2032116,MiddlePhalanxOutlineCorrect,265315712,3382536,162288768,2028648
BeetleFly,1697648000,3382536,1038163584,2028648,MiddlePhalanxTW,265320320,3387160,162293376,2033272
BirdChicken,1697648000,3382536,1038163584,2028648,MoteStrain,278578048,3382536,170398720,2028648
Car,1913163264,3384848,1169952608,2030960,NonInvasiveFetalECGThorax1,2486803072,3428776,1520751808,2074888
CBF,424464896,3383692,259609344,2029804,NonInvasiveFetalECGThorax2,2486803072,3428776,1520751808,2074888
ChlorineConcentration,550457088,3383692,336653888,2029804,OliveOil,1889954176,3384848,1155760192,2030960
CinCECGTorso,5434313472,3384848,3323144864,2030960,OSULeaf,1415827968,3387160,865831712,2033272
Coffee,948326016,3382536,579951296,2028648,PhalangesOutlinesCorrect,265315712,3382536,162288768,2028648
Computers,2387289472,3382536,1459881088,2028648,Phoneme,3395269632,3425308,2076280064,2071420
CricketX,994755712,3394096,608347648,2040208,Plane,477518848,3388316,292053760,2034428
CricketY,994755712,3394096,608347648,2040208,ProximalPhalanxOutlineAgeGroup,265316864,3383692,162289920,2029804
CricketZ,994755712,3394096,608347648,2040208,ProximalPhalanxOutlineCorrect,265315712,3382536,162288768,2028648
DiatomSizeReduction,1143947776,3384848,699575392,2030960,ProximalPhalanxTW,265320320,3387160,162293376,2033272
DistalPhalanxOutlineAgeGroup,265316864,3383692,162289920,2029804,RefrigerationDevices,2387290624,3383692,1459882240,2029804
DistalPhalanxOutlineCorrect,265315712,3382536,162288768,2028648,ScreenType,2387290624,3383692,1459882240,2029804
DistalPhalanxTW,265320320,3387160,162293376,2033272,ShapeletSim,1657860992,3382536,1013833728,2028648
Earthquakes,1697648000,3382536,1038163584,2028648,ShapesAll,1697714816,3449584,1038230400,2095696
ECG200,318365056,3382536,194728576,2028648,SmallKitchenAppliances,2387290624,3383692,1459882240,2029804
ECG5000,464254208,3386004,283941504,2032116,SonyAIBORobotSurface1,232159872,3382536,142013888,2028648
ECGFiveDays,450988416,3382536,275828096,2028648,SonyAIBORobotSurface2,215581952,3382536,131876448,2028648
ElectricDevices,318370816,3388316,194734336,2034428,StarLightCurves,3395228160,3383692,2076238592,2029804
FaceAll,434424320,3396408,265704480,2042520,Strawberry,779231232,3382536,476549408,2028648
FaceFour,1160525696,3384848,709712832,2030960,SwedishLeaf,424478720,3397564,259623168,2043676
FacesUCR,434424320,3396408,265704480,2042520,Symbols,1319676032,3387160,807034560,2033272
FiftyWords,895331968,3438024,547566784,2084136,SyntheticControl,199008640,3387160,121743616,2033272
Fish,1535190144,3388316,938822432,2034428,ToeSegmentation1,918485760,3382536,561703904,2028648
FordA,1657860992,3382536,1013833728,2028648,ToeSegmentation2,1137314304,3382536,695518112,2028648
FordB,1657860992,3382536,1013833728,2028648,Trace,911856896,3384848,557651232,2030960
GunPoint,497406592,3382536,304212928,2028648,TwoLeadECG,271946880,3382536,166343744,2028648
Ham,1429085696,3382536,873937056,2028648,TwoPatterns,424466048,3384848,259610496,2030960
HandOutlines,8981986048,3382536,5492554720,2028648,UWaveGestureLibraryAll,3133302784,3389472,1916072800,2035584
Haptics,3620690176,3386004,2214110080,2032116,UWaveGestureLibraryX,1044484864,3389472,638755360,2035584
Herring,1697648000,3382536,1038163584,2028648,UWaveGestureLibraryY,1044484864,3389472,638755360,2035584
InlineSkate,6240003840,3388316,3815827904,2034428,UWaveGestureLibraryZ,1044484864,3389472,638755360,2035584
InsectWingbeatSound,848868864,3392940,519137024,2039052,Wafer,504037760,3382536,308267904,2028648
ItalyPowerDemand,79643008,3382536,48749440,2028648,Wine,775915648,3382536,474521920,2028648
